t	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364
5.573573573573573	23	22	15	15	17	15	18	15	14	12	16	20	16	22	11	15	13	20	14	21	18	13	14	11	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	25	19	16	17	22	11	16	15	15	20	21	18	16	17	11	19	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	23	15	15	23	15	17	17	12	14	17	25	9	22	18	19	14	26	16	14	14	20	13	20	13	18	20	19	12	22	15	27	9	13	16	16	22	15	14	18	21	24	22	19	23	24	24	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	15	20	16	21	20	17	20	13	12	16	17	24	14	17	25	18	11	11	14	14	11	18	17	17	15	13	19	18	12	20	23	28	18	10	20	17	14	14	16	15	20	20	19	20	15	15	20	24	15	19	24	12	20	8	19	18	15	21	11	19	24	11	7	18	20	19	16	19	18	19	13	16	13	22	16	24	18	23	15	21	16	16	18	15	23	22	23	20	22	15	18	13	21	17	12	12	15	17	14	15	11	16	14	18	16	16	20	9	20	12	15	15	18	14	20	23	27	24	18	8	19	16	15	17	23	20	18	18	13	18	17	15	22	19	17	19	11	18	15	15	17	17	20	19	16	19	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	14	16	25	14	22	21	27	26	13	14	23	22	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	11	13	14	18	21	24	18	18	18	9	20	18	16	13	9	18	20	20	20	20	19
5.581581581581582	23	22	15	15	17	15	18	15	14	12	16	20	16	22	11	15	13	20	14	21	18	13	14	11	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	25	19	16	17	22	11	16	15	15	20	21	18	16	17	11	19	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	23	15	15	23	15	17	17	12	14	17	25	9	22	18	19	14	26	16	14	14	20	13	20	13	18	20	19	12	22	15	27	9	13	16	16	22	15	14	18	21	24	23	19	23	24	24	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	16	20	16	21	20	17	20	13	12	16	17	24	14	17	25	19	11	11	14	14	11	18	17	17	15	13	19	18	12	20	23	28	18	10	20	17	14	14	16	15	20	20	19	20	15	15	20	24	15	19	24	12	20	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	19	13	16	13	22	16	24	18	23	15	21	16	16	18	15	23	22	23	20	22	15	19	13	21	17	12	13	15	17	14	15	11	16	14	18	16	16	20	9	20	12	15	15	18	14	20	23	27	24	18	8	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	18	15	15	17	17	20	19	16	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	14	16	25	14	22	21	27	26	13	14	23	22	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	11	13	15	18	21	24	18	18	18	9	20	18	16	13	9	18	20	20	20	20	19
5.58958958958959	23	22	15	15	17	15	18	15	14	12	16	20	16	22	11	15	13	20	14	21	18	13	14	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	25	19	16	17	22	11	16	15	15	20	21	18	16	17	11	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	23	15	15	23	15	17	17	12	14	17	25	9	22	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	22	15	14	18	21	24	23	19	23	24	25	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	16	20	16	21	20	17	20	13	12	16	17	24	14	17	25	19	11	11	14	14	11	18	17	17	15	13	19	18	12	20	23	28	18	10	20	17	14	14	16	15	20	20	19	20	15	15	20	24	15	19	24	12	20	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	19	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	15	19	13	21	17	12	13	15	17	14	15	11	16	14	18	16	16	20	9	20	12	15	15	18	14	20	23	28	24	18	8	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	18	15	15	17	17	20	19	16	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	14	16	25	14	22	21	27	26	13	14	23	22	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	11	13	15	18	21	24	18	18	18	9	20	18	16	13	9	18	20	20	20	20	19
5.597597597597598	23	22	15	15	17	15	18	15	14	12	16	20	16	22	12	15	13	20	14	21	18	13	14	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	16	17	22	11	16	15	15	20	21	18	16	17	11	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	23	15	15	23	15	17	17	12	14	17	25	9	22	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	18	21	24	23	19	23	24	25	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	16	20	16	21	20	17	20	13	12	17	17	24	14	17	25	19	11	11	14	14	11	18	17	17	15	13	19	18	12	20	23	28	18	10	20	17	14	14	16	15	20	20	19	20	15	16	20	24	15	19	24	12	20	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	19	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	15	19	13	22	18	12	14	15	17	14	15	11	16	14	18	16	16	20	9	20	12	15	15	18	14	20	23	28	24	18	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	17	17	20	19	16	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	14	16	25	14	22	21	27	26	13	14	23	22	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	11	13	15	19	21	24	18	18	18	9	20	18	16	13	9	18	20	20	20	20	19
5.605605605605605	23	22	15	15	17	15	18	15	14	12	16	20	16	22	12	15	14	20	14	21	18	13	14	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	11	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	24	15	15	23	15	17	17	12	14	17	25	9	22	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	18	21	24	23	19	23	24	26	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	16	20	16	21	20	17	20	13	12	17	17	24	14	17	25	19	11	11	14	14	11	18	17	17	15	13	19	18	12	20	24	28	18	10	20	17	14	14	16	15	20	20	19	20	15	16	20	24	15	19	24	12	20	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	19	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	15	19	13	22	18	12	14	15	17	14	15	11	16	14	18	16	16	20	9	20	12	15	15	18	14	20	23	28	24	18	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	17	17	20	19	16	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	14	16	25	14	22	21	27	26	13	14	23	22	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	11	13	15	19	21	24	18	18	18	9	20	18	16	13	9	18	20	20	20	20	19
5.613613613613613	23	22	15	15	18	15	18	15	15	12	16	20	16	22	12	15	14	20	14	21	18	13	14	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	11	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	24	15	15	23	15	17	17	12	14	17	25	9	23	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	18	21	24	23	19	23	24	26	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	17	20	16	21	20	17	20	13	12	17	17	24	14	17	25	19	11	11	14	14	11	18	17	17	15	13	19	18	12	20	24	28	18	10	20	17	14	15	16	15	20	20	19	20	15	16	20	24	15	19	24	12	21	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	20	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	15	19	13	22	18	12	14	15	17	14	15	11	16	14	18	16	16	20	9	20	12	15	15	18	14	20	23	28	24	18	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	17	17	21	20	17	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	15	16	25	14	22	21	27	26	13	14	23	23	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	11	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.621621621621622	23	22	15	15	18	15	18	15	15	12	16	20	16	22	12	15	14	20	14	21	18	13	15	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	11	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	17	23	15	13	20	16	25	24	15	15	23	15	17	17	12	14	17	25	9	23	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	18	21	24	23	19	23	24	26	17	15	20	14	14	14	16	14	15	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	12	17	17	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	15	16	15	21	20	19	20	15	16	21	24	15	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	20	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	15	19	13	22	18	12	14	15	17	15	15	11	16	14	18	16	16	20	9	20	12	15	15	18	15	20	23	28	24	18	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	17	17	21	20	17	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	15	16	25	14	22	21	27	26	13	14	23	23	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.62962962962963	23	22	15	15	18	15	18	15	15	12	16	20	16	22	12	15	14	20	14	21	18	13	15	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	11	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	18	23	15	13	21	16	25	24	15	15	23	15	17	17	12	14	17	25	9	23	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	18	21	24	23	19	23	24	26	17	15	20	14	15	14	16	14	15	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	12	17	17	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	15	16	15	21	20	19	20	15	16	21	24	15	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	20	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	15	19	13	22	18	12	14	15	17	15	15	11	16	14	18	16	16	20	9	20	12	15	15	18	15	20	23	28	24	18	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	17	17	21	20	17	20	16	21	16	18	18	11	12	15	10	16	18	22	29	21	13	17	20	11	15	15	16	25	14	22	21	27	26	13	14	23	23	17	23	16	16	19	17	14	19	23	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.637637637637638	23	22	15	15	18	15	18	15	15	12	16	20	16	22	12	15	14	20	14	21	18	13	15	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	20	12	18	16	13	20	13	13	19	20	17	25	9	13	18	23	15	13	21	16	25	24	15	15	23	15	17	17	12	14	17	25	9	23	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	18	21	24	23	19	23	24	26	17	15	20	14	15	15	16	14	15	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	12	17	17	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	15	16	15	21	20	19	20	15	16	21	25	16	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	20	13	16	13	22	16	24	18	24	15	21	16	16	18	15	23	22	23	20	22	16	19	14	22	18	12	14	15	17	15	15	11	16	14	18	16	16	20	9	20	12	15	15	18	15	20	23	28	24	19	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	17	17	21	20	17	20	16	21	16	18	18	11	12	16	10	16	18	22	29	21	13	17	20	11	15	16	16	25	14	22	21	27	27	13	14	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.645645645645645	23	22	15	15	18	15	18	15	15	12	16	20	16	22	12	15	14	20	14	21	18	13	15	12	7	14	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	14	20	13	13	19	20	17	25	9	13	18	23	15	13	21	16	25	24	15	15	23	15	17	17	12	14	17	25	9	23	18	19	14	26	17	14	14	20	14	20	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	19	21	24	23	20	24	24	27	17	15	20	14	15	15	17	14	15	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	12	17	17	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	19	20	15	16	21	25	16	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	20	13	16	13	22	16	24	18	24	16	21	16	16	18	15	23	22	23	20	22	16	19	14	22	18	12	14	15	17	15	15	11	16	14	18	17	16	20	9	20	12	15	16	18	15	20	23	28	24	19	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	18	17	21	20	17	20	16	21	16	18	18	11	12	16	10	16	18	22	29	21	13	17	20	11	15	16	16	25	14	22	21	27	27	13	14	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.653653653653653	23	22	15	15	18	15	18	15	15	12	16	20	16	22	12	15	14	20	14	21	18	13	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	14	20	14	13	19	20	17	25	9	13	18	23	15	13	21	16	25	24	15	15	23	15	17	17	12	14	18	25	9	23	18	19	14	26	17	14	14	20	14	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	19	21	24	23	20	24	24	27	17	15	20	14	16	15	17	14	15	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	12	17	17	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	16	19	18	20	14	16	13	22	16	24	18	24	16	21	16	16	18	15	23	22	23	20	22	16	19	14	22	18	12	14	15	18	15	15	11	16	14	18	17	16	20	9	20	12	15	16	18	15	20	23	28	24	19	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	16	10	16	18	22	29	22	13	17	20	11	15	16	16	25	14	22	21	27	27	13	14	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.661661661661662	23	22	15	15	18	15	18	15	15	12	16	20	16	23	12	15	14	20	14	21	18	13	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	15	20	15	13	19	20	17	25	9	13	18	23	15	13	21	16	25	24	15	15	23	15	17	17	12	14	18	25	9	23	18	19	14	26	17	14	14	20	14	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	19	21	24	23	20	24	24	27	17	15	20	14	16	15	17	14	16	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	13	17	18	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	17	19	18	20	14	16	13	22	16	24	18	24	16	21	16	16	18	15	23	22	23	20	22	17	19	14	22	18	12	14	15	18	15	15	11	16	14	18	17	16	20	9	20	12	15	16	18	15	20	23	28	24	19	9	19	16	15	17	24	20	18	18	13	18	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	16	10	16	18	22	29	22	13	17	20	11	15	16	16	25	14	22	22	27	27	13	14	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	13	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.66966966966967	23	22	15	15	18	15	18	15	15	12	16	20	16	23	12	15	14	20	14	21	18	13	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	15	20	15	13	19	20	17	25	9	14	18	23	15	13	21	16	25	24	15	15	23	15	17	17	12	15	18	25	9	23	18	19	14	26	17	14	14	20	14	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	19	21	24	23	20	24	24	27	17	16	20	14	16	15	17	14	16	16	18	22	22	13	13	25	17	20	16	21	20	18	20	13	13	17	18	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	19	24	13	21	8	19	18	15	21	11	19	24	11	7	18	21	19	17	19	18	20	14	16	13	22	16	25	18	24	16	21	16	16	18	15	23	23	23	20	22	17	19	14	22	18	12	14	15	18	15	15	11	16	14	18	17	16	20	9	20	12	15	16	18	15	20	23	28	24	19	9	20	16	15	17	24	20	18	18	13	19	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	17	10	16	18	22	29	22	13	17	20	11	15	16	16	25	14	22	22	27	27	13	15	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	14	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.677677677677678	23	22	15	15	18	15	18	15	15	12	16	20	16	23	12	15	14	20	14	21	18	14	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	15	20	16	13	19	20	17	25	9	14	18	24	15	13	22	16	26	24	15	15	23	15	17	17	12	15	18	25	9	23	18	19	14	26	17	14	14	20	14	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	19	21	24	23	20	24	24	27	17	16	20	15	16	15	17	14	16	16	18	22	22	13	13	25	17	20	16	21	20	18	20	14	13	17	18	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	19	24	13	21	8	19	18	15	21	11	20	24	11	7	18	21	19	17	19	18	20	14	16	13	22	16	25	18	24	16	21	16	16	18	15	23	23	23	20	22	17	19	14	22	18	12	14	15	18	15	15	11	16	14	18	17	16	20	9	20	12	15	17	18	15	20	23	28	24	19	9	20	16	15	17	24	20	18	18	13	19	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	17	10	16	18	22	29	22	13	17	20	11	16	16	16	25	14	22	22	27	27	13	15	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	14	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.685685685685685	23	22	15	15	18	15	18	15	15	12	17	20	16	23	12	15	14	20	14	21	18	15	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	22	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	15	20	16	13	19	20	17	25	9	15	18	24	15	13	22	16	26	24	15	15	23	15	17	17	12	15	18	25	9	23	18	19	14	26	17	15	14	20	14	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	19	21	24	23	20	24	24	27	17	16	20	15	16	15	17	14	16	16	18	22	22	13	13	25	17	20	16	21	20	18	20	14	13	17	18	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	20	24	13	21	8	19	18	15	21	11	20	24	11	7	18	21	19	17	19	18	20	14	16	13	22	16	25	18	24	16	21	16	16	18	15	23	23	23	20	22	17	19	14	22	18	12	14	15	18	15	15	11	16	14	18	17	16	20	9	20	12	15	17	18	15	20	23	28	24	19	9	20	16	15	18	24	20	18	19	13	19	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	17	10	16	18	22	29	22	13	17	20	11	16	16	16	25	14	22	22	27	27	13	15	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	14	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.693693693693693	23	22	15	15	18	15	18	15	15	12	17	20	16	23	12	15	14	20	14	21	18	15	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	14	12	16	19	26	19	17	17	23	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	15	20	16	13	19	20	18	25	9	15	18	24	15	13	22	16	26	24	15	15	23	15	17	17	12	15	18	25	9	23	18	19	14	26	17	15	14	20	14	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	20	21	24	23	20	24	24	27	17	16	20	15	16	15	17	14	16	16	18	22	22	13	13	25	17	20	16	21	20	18	20	14	14	17	18	24	14	17	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	24	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	20	24	14	21	8	19	19	15	21	11	20	24	11	7	18	21	19	17	19	18	20	14	16	13	22	16	25	19	24	16	21	16	16	18	16	23	23	23	20	22	17	19	15	22	18	12	14	15	18	15	15	11	16	14	19	17	16	20	9	20	12	15	17	18	15	20	23	28	24	19	9	20	16	16	18	24	20	18	19	13	19	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	17	10	16	18	22	29	22	13	17	20	11	16	16	16	25	14	22	22	27	27	13	15	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	14	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
5.701701701701702	23	22	15	15	18	15	18	15	15	12	17	20	16	23	12	15	14	20	14	21	18	15	15	12	7	15	23	13	13	18	13	15	15	17	28	15	23	16	15	12	16	19	26	19	17	17	23	11	16	15	15	20	21	18	16	17	12	20	9	13	21	12	18	16	15	20	16	13	19	20	18	25	9	15	18	24	15	13	22	16	26	24	15	15	23	15	17	17	12	15	18	25	9	23	18	20	14	26	18	15	14	20	15	21	13	18	20	19	12	22	15	27	9	13	16	16	23	15	14	20	21	24	23	20	24	24	27	17	16	20	15	16	15	17	14	16	16	18	22	22	13	13	25	17	20	16	21	20	18	21	14	14	17	18	24	14	18	25	19	11	11	15	14	11	18	17	18	15	13	19	18	12	20	25	28	18	10	20	17	14	16	16	15	21	20	20	20	16	16	21	25	16	20	24	14	21	8	19	19	15	21	11	20	24	11	8	18	21	19	17	19	18	20	14	16	13	22	16	25	19	24	16	21	16	16	18	16	23	23	23	20	22	17	19	15	22	18	12	14	15	18	15	15	11	16	14	19	17	16	20	9	20	12	15	17	18	15	20	23	28	24	19	9	20	16	16	18	24	20	18	19	13	19	17	15	22	19	17	19	11	19	16	15	18	17	21	20	18	20	16	21	16	18	18	11	12	17	10	16	18	22	29	22	13	17	20	12	16	16	16	25	14	22	22	27	27	14	15	23	23	17	23	16	16	19	17	14	19	24	15	16	14	12	17	14	17	19	13	18	19	13	19	16	11	12	15	15	19	21	24	18	18	18	9	20	18	16	14	9	18	20	20	20	20	19
